Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
47,Super Mario 64,N64,Platform,Nintendo,6910000,2850000,1910000,230000,11890000
48,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,3010000,10000,1100000,7530000,11660000
49,Super Mario Galaxy,Wii,Platform,Nintendo,6160000,3400000,1200000,760000,11520000
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,Nintendo,4230000,3370000,3080000,650000,11330000
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,Nintendo,6160000,2040000,2690000,290000,11180000
52,Grand Theft Auto IV,X360,Action,Take-Two Interactive,6760000,3100000,140000,1030000,11020000
53,Gran Turismo,PS,Racing,Sony Computer Entertainment,4019999,3870000,2540000,520000,10950000
54,Super Mario 3D Land,3DS,Platform,Nintendo,4890000,2990000,2130000,780000,10790000
55,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,2960000,4880000,810000,2120000,10770000
56,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,4990000,3690000,380000,1630000,10690000
57,Grand Theft Auto IV,PS3,Action,Take-Two Interactive,4760000,3760000,440000,1620000,10570000
58,Super Mario All-Stars,SNES,Platform,Nintendo,5990000,2150000,2120000,290000,10550000
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,Nintendo,4340000,2650000,3150000,350000,10490000
60,Super Mario 64,DS,Platform,Nintendo,5080000,3110000,1250000,980000,10420000
61,Just Dance 3,Wii,Misc,Ubisoft,6050000,3150000,0,1070000,10260000
62,Call of Duty: Ghosts,X360,Shooter,Activision,6720000,2630000,40000,820000,10210000
63,Halo: Reach,X360,Shooter,Microsoft Game Studios,7030000,1980000,80000,780000,9880000
64,Mario Kart 64,N64,Racing,Nintendo,5550000,1940000,2230000,150000,9870000
65,New Super Mario Bros. 2,3DS,Platform,Nintendo,3660000,3070000,2470000,630000,9820000
66,Halo 4,X360,Shooter,Microsoft Game Studios,6630000,2360000,40000,730000,9760000
67,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,3010000,2470000,3280000,960000,9720000
68,Call of Duty: Ghosts,PS3,Shooter,Activision,4090000,3730000,380000,1380000,9590000
69,Just Dance 2,Wii,Misc,Ubisoft,5840000,2890000,10000,780000,9520000
70,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,3880000,3420000,1690000,500000,9490000
71,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,5910000,2380000,130000,900000,9320000
72,Donkey Kong Country,SNES,Platform,Nintendo,4360000,1710000,3000000,230000,9300000
73,Minecraft,X360,Misc,Microsoft Game Studios,5580000,2830000,20000,770000,9200000
74,Animal Crossing: New Leaf,3DS,Simulation,Nintendo,2009999,2320000,4360000,410000,9090000
75,Mario Party DS,DS,Misc,Nintendo,4460000,1880000,1980000,700000,9020000
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,5030000,2860000,100000,850000,8840000
77,Super Mario Kart,SNES,Racing,Nintendo,3540000,1240000,3810000,180000,8760000
78,FIFA 16,PS4,Sports,Electronic Arts,1110000,6060000,60000,1260000,8490000
79,Wii Party,Wii,Misc,Nintendo,1790000,3530000,2490000,680000,8490000
80,Halo 2,XB,Shooter,Microsoft Game Studios,6820000,1530000,50000,80000,8490000
81,Mario Party 8,Wii,Misc,Nintendo,3810000,2300000,1580000,730000,8420000
82,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,Nintendo,2910000,1860000,3140000,430000,8330000
83,FIFA Soccer 13,PS3,Action,Electronic Arts,1060000,5050000,130000,2009999,8240000
84,The Sims 3,PC,Simulation,Electronic Arts,980000,6420000,0,710000,8109999
85,GoldenEye 007,N64,Shooter,Nintendo,5800000,2009999,130000,150000,8090000
86,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,2580000,3900000,660000,910000,8060000
87,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,2910000,2069999,2730000,330000,8050000
88,Final Fantasy VIII,PS,Role-Playing,SquareSoft,2280000,1720000,3630000,230000,7860000
89,Pokémon Platinum Version,DS,Role-Playing,Nintendo,2820000,1780000,2690000,550000,7840000
90,Pac-Man,2600,Puzzle,Atari,7280000,450000,0,80000,7810000
91,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,2900000,2830000,240000,1750000,7720000
92,Super Mario Galaxy 2,Wii,Platform,Nintendo,3660000,2420000,980000,640000,7690000
93,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,2930000,3290000,220000,1230000,7670000
94,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,2800000,3300000,140000,1370000,7600000
95,The Legend of Zelda: Ocarina of Time,N64,Action,Nintendo,4099999,1890000,1450000,160000,7600000
96,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment,3780000,2170000,1310000,310000,7580000
97,Super Mario Bros. 2,NES,Platform,Nintendo,5390000,1180000,700000,190000,7460000
98,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo,3240000,1350000,2420000,430000,7450000
99,Call of Duty: World at War,X360,Shooter,Activision,4790000,1900000,0,690000,7370000
100,Battlefield 3,X360,Shooter,Electronic Arts,4460000,2130000,60000,690000,7340000
101,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3830000,2190000,600000,700000,7310000
102,Call of Duty: Black Ops 3,XOne,Shooter,Activision,4520000,2089999,10000,670000,7300000
103,Just Dance,Wii,Misc,Ubisoft,3510000,3030000,0,730000,7270000
104,Battlefield 3,PS3,Shooter,Electronic Arts,2850000,2930000,350000,1100000,7230000
105,Need for Speed Underground,PS2,Racing,Electronic Arts,3270000,2830000,80000,1020000,7200000
106,Tekken 3,PS,Fighting,Sony Computer Entertainment,3270000,2220000,1400000,290000,7160000
107,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,3680000,1750000,1420000,280000,7130000
108,Super Smash Bros. Melee,GC,Fighting,Nintendo,4410000,1040000,1390000,220000,7070000
109,Mario Kart 8,WiiU,Racing,Nintendo,3130000,2069999,1270000,490000,6960000
110,Fallout 4,PS4,Role-Playing,Bethesda Softworks,2470000,3150000,240000,1100000,6960000
111,Mario Kart: Double Dash!!,GC,Racing,Nintendo,4120000,1770000,870000,190000,6950000
112,Just Dance 4,Wii,Misc,Ubisoft,4139999,2210000,0,560000,6910000
113,FIFA 14,PS3,Sports,Electronic Arts,780000,4320000,70000,1730000,6900000
114,Need for Speed Underground 2,PS2,Racing,Electronic Arts,2710000,3020000,80000,1090000,6900000
115,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,2930000,2750000,170000,990000,6830000
116,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,2770000,2800000,190000,1060000,6830000
117,Crash Bandicoot,PS,Platform,Sony Computer Entertainment,3230000,2350000,940000,300000,6820000
118,Zumba Fitness,Wii,Sports,505 Games,3500000,2640000,0,670000,6810000
119,Gears of War 2,X360,Shooter,Microsoft Game Studios,4150000,1920000,60000,640000,6760000
120,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,3270000,2250000,210000,1000000,6730000
121,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,3100000,2300000,280000,1040000,6720000
122,FIFA 12,PS3,Sports,Electronic Arts,840000,4320000,110000,1420000,6690000
123,Big Brain Academy,DS,Misc,Nintendo,1670000,2780000,1600000,620000,6670000
124,Red Dead Redemption,PS3,Action,Take-Two Interactive,2790000,2610000,170000,1030000,6600000
125,FIFA 15,PS4,Sports,Electronic Arts,790000,4290000,50000,1470000,6590000
126,Donkey Kong Country Returns,Wii,Platform,Nintendo,3250000,1840000,1030000,470000,6590000
127,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,2550000,2710000,250000,1050000,6560000
128,The Legend of Zelda,NES,Action,Nintendo,3740000,930000,1690000,140000,6510000
129,Assassin's Creed III,PS3,Action,Ubisoft,2640000,2560000,160000,1140000,6500000
130,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,4980000,1300000,80000,70000,6430000
131,Pokémon Emerald Version,GBA,Role-Playing,Nintendo,2570000,1580000,2060000,210000,6410000
132,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,3640000,1200000,1490000,70000,6400000
133,Pokémon Crystal Version,GB,Role-Playing,Nintendo,2550000,1560000,1290000,990000,6390000
134,Halo 3: ODST,X360,Shooter,Microsoft Game Studios,4340000,1350000,60000,610000,6360000
135,Red Dead Redemption,X360,Action,Take-Two Interactive,3700000,1970000,90000,570000,6340000
136,Super Mario Sunshine,GC,Platform,Nintendo,4010000,1260000,870000,170000,6310000
137,Street Fighter II: The World Warrior,SNES,Fighting,Capcom,2470000,830000,2870000,120000,6300000
138,World of Warcraft,PC,Role-Playing,Activision,70000,6210000,0,0,6280000
139,Driver,PS,Action,GT Interactive,3110000,2800000,20000,330000,6270000
140,Kinect Sports,X360,Sports,Microsoft Game Studios,3920000,1780000,30000,510000,6240000
141,Gears of War 3,X360,Shooter,Microsoft Game Studios,4050000,1620000,70000,490000,6240000
142,Gears of War,X360,Shooter,Microsoft Game Studios,3540000,1900000,70000,600000,6110000
143,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,2450000,2009999,870000,720000,6050000
144,Sonic the Hedgehog 2,GEN,Platform,Sega,4470000,1200000,160000,190000,6030000
145,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,2630000,1740000,830000,830000,6030000
146,Metal Gear Solid,PS,Action,Konami Digital Entertainment,3180000,1830000,780000,240000,6030000
147,The Last of Us,PS3,Action,Sony Computer Entertainment Europe,2410000,2280000,280000,1010000,5990000
148,Final Fantasy XII,PS2,Role-Playing,Square Enix,1880000,0,2330000,1740000,5950000
149,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,2800000,2049999,170000,900000,5920000
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,660000,690000,4350000,150000,5840000
151,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,3660000,1630000,0,530000,5830000
152,Resident Evil 2,PS,Action,Virgin Interactive,1880000,1470000,2020000,450000,5820000
153,Tekken 2,PS,Fighting,Sony Computer Entertainment,2260000,1890000,1360000,230000,5740000
154,Cooking Mama,DS,Simulation,505 Games,3130000,1940000,70000,580000,5720000
155,Destiny,PS4,Shooter,Activision,2490000,2049999,160000,960000,5650000
156,Tetris,NES,Puzzle,Nintendo,2970000,690000,1810000,110000,5580000
157,Assassin's Creed II,PS3,Action,Ubisoft,2540000,1950000,210000,870000,5570000
158,Super Smash Bros.,N64,Fighting,Nintendo,2950000,600000,1970000,40000,5550000
159,Assassin's Creed,X360,Adventure,Ubisoft,3280000,1650000,70000,550000,5550000
160,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,2700000,1910000,110000,800000,5530000
161,Forza Motorsport 3,X360,Racing,Microsoft Game Studios,2990000,1920000,100000,510000,5510000
162,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,470000,570000,4130000,340000,5500000
163,Super Mario Advance,GBA,Platform,Nintendo,3140000,1240000,910000,200000,5490000
164,Mario Kart: Super Circuit,GBA,Racing,Nintendo,2620000,1640000,990000,230000,5470000
165,Super Mario World,GBA,Platform,Nintendo,3210000,1110000,950000,200000,5460000
166,Pokemon Stadium,N64,Strategy,Nintendo,3180000,1240000,940000,90000,5450000
167,Call of Duty: World at War,PS3,Shooter,Activision,2720000,1870000,0,840000,5430000
168,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,2069999,2290000,240000,820000,5420000
169,Minecraft,PS3,Misc,Sony Computer Entertainment,1970000,2510000,0,940000,5420000
170,Final Fantasy XIII,PS3,Role-Playing,Square Enix,1740000,1240000,1870000,520000,5360000
171,Dr. Mario,GB,Puzzle,Nintendo,2180000,960000,2000000,200000,5340000
172,Pokemon Pinball,GB,Misc,Nintendo,3020000,1120000,1010000,160000,5310000
173,Assassin's Creed III,X360,Action,Ubisoft,3130000,1710000,30000,440000,5300000
174,Final Fantasy IX,PS,Role-Playing,SquareSoft,1620000,770000,2780000,140000,5300000
175,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,1920000,1080000,2110000,170000,5290000
176,Donkey Kong 64,N64,Platform,Nintendo,3330000,790000,1090000,60000,5270000
177,Assassin's Creed II,X360,Action,Ubisoft,3100000,1560000,80000,510000,5270000
178,Professor Layton and the Curious Village,DS,Puzzle,Nintendo,1220000,2480000,1030000,520000,5260000
179,Tomb Raider II,PS,Action,Eidos Interactive,2300000,2460000,200000,280000,5240000
180,Madden NFL 2004,PS2,Sports,Electronic Arts,4260000,260000,10000,710000,5230000
181,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,650000,750000,3610000,200000,5210000
182,Diablo III,PC,Role-Playing,Activision,2430000,2150000,0,620000,5200000
183,Super Mario Bros. 3,GBA,Platform,Nintendo,2930000,1250000,830000,200000,5200000
184,New Super Mario Bros. U,WiiU,Platform,Nintendo,2320000,1300000,1270000,310000,5190000
185,Super Mario Land 3: Wario Land,GB,Platform,Nintendo,2490000,980000,1570000,150000,5190000
186,FIFA Soccer 13,X360,Action,Electronic Arts,1080000,3480000,30000,580000,5180000
187,The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo,1900000,1830000,950000,490000,5170000
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo,2100000,740000,2200000,110000,5150000
189,Tomodachi Life,3DS,Simulation,Nintendo,960000,2020000,1890000,280000,5150000
190,Mario & Sonic at the Olympic Games,DS,Sports,Sega,1640000,2480000,440000,580000,5140000
191,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,1980000,2230000,130000,800000,5130000
192,Kirby's Dream Land,GB,Platform,Nintendo,2710000,610000,1700000,110000,5130000
193,Fable III,X360,Role-Playing,Microsoft Game Studios,3590000,1110000,50000,380000,5130000
194,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,3210000,1530000,10000,380000,5130000
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios,3220000,1690000,0,200000,5120000
196,Guitar Hero II,PS2,Misc,RedOctane,3810000,630000,0,680000,5120000
197,Resident Evil 5,PS3,Action,Capcom,1960000,1430000,1080000,650000,5110000
198,Grand Theft Auto V,XOne,Action,Take-Two Interactive,2660000,2009999,0,410000,5080000
199,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,1700000,2020000,160000,1210000,5080000
200,FIFA Soccer 11,PS3,Sports,Electronic Arts,600000,3290000,60000,1130000,5080000
201,Super Mario Bros.,GB,Platform,Nintendo,3400000,1300000,150000,220000,5070000
202,Resident Evil,PS,Action,Virgin Interactive,2049999,1160000,1110000,730000,5050000
203,Tony Hawk's Pro Skater,PS,Sports,Activision,3420000,1380000,20000,200000,5020000
204,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,Nintendo,2590000,1060000,800000,570000,5020000
205,Warzone 2100,PS,Strategy,Eidos Interactive,2790000,1890000,0,330000,5010000
206,Spyro the Dragon,PS,Platform,Sony Computer Entertainment,3360000,1360000,70000,210000,5000000
207,Link's Crossbow Training,Wii,Shooter,Nintendo,3060000,1180000,290000,460000,5000000
208,Guitar Hero III: Legends of Rock,PS2,Misc,Activision,3490000,10000,10000,1480000,4980000
209,Fallout 3,X360,Role-Playing,Bethesda Softworks,3390000,1030000,90000,440000,4960000
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,Nintendo,1850000,1200000,1540000,370000,4960000
211,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,2310000,1730000,120000,780000,4940000
212,Madden NFL 06,PS2,Sports,Electronic Arts,3980000,260000,10000,660000,4910000
213,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,2890000,1540000,0,460000,4900000
214,Diddy Kong Racing,N64,Racing,Nintendo,2910000,990000,890000,100000,4880000
215,Monster Hunter Freedom 3,PSP,Role-Playing,Capcom,0,0,4870000,0,4870000
216,Dr. Mario,NES,Puzzle,Nintendo,2620000,600000,1520000,100000,4850000
217,God of War III,PS3,Action,Sony Computer Entertainment,2740000,1360000,120000,630000,4840000
218,StarCraft II: Wings of Liberty,PC,Strategy,Activision,2560000,1680000,0,590000,4830000
219,Assassin's Creed,PS3,Adventure,Ubisoft,1910000,2000000,90000,830000,4830000
220,FIFA 15,PS3,Sports,Electronic Arts,570000,3140000,40000,1070000,4820000
221,Crash Team Racing,PS,Racing,Sony Computer Entertainment,2570000,1570000,440000,210000,4790000
222,FIFA 17,PS4,Sports,Electronic Arts,280000,3750000,60000,690000,4770000
223,Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,2990000,1310000,40000,410000,4760000
224,Driver 2,PS,Action,Atari,2360000,2100000,20000,250000,4730000
225,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games,1730000,2190000,0,790000,4700000
226,Tony Hawk's Pro Skater 2,PS,Sports,Activision,3050000,1410000,20000,200000,4680000
227,Animal Crossing: City Folk,Wii,Simulation,Nintendo,1870000,1120000,1320000,370000,4680000
228,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,1940000,1950000,80000,700000,4670000
229,Forza Motorsport 4,X360,Racing,Microsoft Game Studios,2080000,2040000,60000,470000,4640000
230,Tomb Raider,PS,Action,Eidos Interactive,2290000,1970000,130000,240000,4630000
231,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,3060000,1120000,0,440000,4620000
232,The Legend of Zelda: A Link to the Past,SNES,Action,Nintendo,2420000,910000,1150000,130000,4610000
233,The Legend of Zelda: The Wind Waker,GC,Action,Nintendo,2600000,990000,890000,130000,4600000
234,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,1890000,1990000,220000,480000,4580000
235,Luigi's Mansion: Dark Moon,3DS,Action,Nintendo,1780000,1390000,1100000,300000,4580000
236,Splatoon,WiiU,Shooter,Nintendo,1550000,1150000,1440000,430000,4570000
237,The Last of Us,PS4,Action,Sony Computer Entertainment,1780000,1870000,70000,820000,4550000
238,Guitar Hero III: Legends of Rock,X360,Misc,Activision,3190000,920000,10000,420000,4530000
239,Madden NFL 2005,PS2,Sports,Electronic Arts,4179999,260000,10000,80000,4530000
240,Pitfall!,2600,Platform,Activision,4210000,240000,0,50000,4500000
241,Madden NFL 07,PS2,Sports,Electronic Arts,3630000,240000,10000,610000,4490000
242,Spider-Man: The Movie,PS2,Action,Activision,2710000,1510000,30000,230000,4480000
243,Dragon Quest VII: Warriors of Eden,PS,Role-Playing,Enix Corporation,200000,140000,4099999,20000,4470000
244,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,1960000,1690000,80000,740000,4470000
245,Call of Duty: Advanced Warfare,PS3,Shooter,Activision,1540000,1940000,190000,770000,4450000
246,God of War,PS2,Action,Sony Computer Entertainment,2710000,1290000,20000,430000,4450000
247,Nintendo Land,WiiU,Misc,Nintendo,2550000,1110000,460000,330000,4440000
248,Michael Jackson: The Experience,Wii,Misc,Ubisoft,2670000,1350000,10000,390000,4420000
249,Tony Hawk's Pro Skater 3,PS2,Sports,Activision,2660000,1290000,10000,460000,4410000
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment,100000,2390000,1050000,860000,4390000
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,2820000,1050000,130000,400000,4390000
252,Zelda II: The Adventure of Link,NES,Adventure,Nintendo,2190000,500000,1610000,80000,4380000
253,Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,2029999,1790000,80000,470000,4370000
254,Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment,1730000,1730000,140000,750000,4350000
255,Sonic the Hedgehog,GEN,Platform,Sega,3030000,910000,260000,130000,4340000
256,Kingdom Hearts II,PS2,Role-Playing,Square Enix,2200000,580000,1380000,170000,4330000
257,FIFA 14,X360,Sports,Electronic Arts,920000,2930000,10000,460000,4310000
258,Call of Duty: Advanced Warfare,X360,Shooter,Activision,2750000,1180000,0,370000,4310000
259,Asteroids,2600,Shooter,Atari,4000000,260000,0,50000,4310000
260,Fable II,X360,Role-Playing,Microsoft Game Studios,2510000,1270000,110000,410000,4310000
261,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,2640000,1200000,30000,390000,4260000
262,Super Mario 3D World,WiiU,Platform,Nintendo,2110000,1110000,720000,300000,4250000
263,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,2230000,1340000,70000,610000,4250000
264,Assassin's Creed: Revelations,PS3,Action,Ubisoft,1410000,2020000,100000,720000,4240000
265,Namco Museum,GBA,Misc,Namco Bandai Games,3000000,1110000,50000,70000,4240000
266,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami Digital Entertainment,1460000,0,830000,1930000,4230000
267,Daxter,PSP,Platform,Sony Computer Entertainment,2450000,1020000,0,750000,4220000
268,Warcraft II: Tides of Darkness,PC,Strategy,Activision,1700000,2270000,0,230000,4210000
269,The Legend of Zelda: Ocarina of Time,3DS,Action,Nintendo,2029999,1270000,620000,300000,4210000
270,FIFA Soccer 06,PS2,Sports,Electronic Arts,780000,2550000,40000,840000,4210000
271,EyeToy Play,PS2,Misc,Sony Computer Entertainment,880000,2300000,200000,830000,4200000
272,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,1300000,2069999,180000,650000,4200000
273,Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment,1280000,1830000,570000,530000,4200000
274,Assassin's Creed: Revelations,X360,Action,Ubisoft,2250000,1470000,40000,430000,4190000
275,Street Fighter IV,PS3,Fighting,Capcom,2020000,1060000,580000,530000,4190000
276,FIFA 12,X360,Sports,Electronic Arts,840000,2790000,20000,530000,4190000
277,Teenage Mutant Ninja Turtles,NES,Action,Palcom,3380000,440000,310000,40000,4170000
278,Excitebike,NES,Racing,Nintendo,2040000,480000,1570000,70000,4160000
279,Frogger,PS,Action,Hasbro Interactive,3790000,270000,0,110000,4160000
280,Madden NFL 2003,PS2,Sports,Electronic Arts,3360000,210000,10000,560000,4139999
281,Watch Dogs,PS4,Action,Ubisoft,1400000,1860000,110000,770000,4139999
282,Half-Life,PC,Shooter,Vivendi Games,4030000,0,90000,0,4120000
283,Super Mario World 2: Yoshi's Island,SNES,Platform,Nintendo,1650000,610000,1760000,90000,4120000
284,FIFA Soccer 07,PS2,Sports,Electronic Arts,710000,2480000,30000,890000,4110000
285,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,2140000,1200000,370000,400000,4099999
286,Street Fighter II Turbo,SNES,Fighting,Capcom,1420000,510000,2100000,70000,4099999
287,Carnival Games,Wii,Misc,Take-Two Interactive,2130000,1500000,50000,420000,4099999
288,Fallout 4,XOne,Role-Playing,Bethesda Softworks,2450000,1260000,10000,370000,4090000
289,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2570000,1520000,0,0,4090000
290,Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,2650000,1060000,40000,330000,4080000
